ID,SCH_ID,조사동의여부,개인정보동의여부,성별,Q1,Q2,Q3,Q4A1,Q4A2,Q4A3,Q4A4,Q4A5,Q5A1,Q5A2,Q5A3,Q5A4,Q5A5,Q5A6,Q5A7,Q6M1,Q6M2,Q6_OTHERS,Q6_1M1,Q6_1M2,Q6_1_OTHERS,Q7A1,Q7A2,Q7A3,Q7A4,Q7A5,Q7A6,Q7A7,Q8A1,Q8A2,Q8A3,Q9,Q10A1,Q10A2,Q10A3,Q10A4,Q10A5,Q10A6,Q10A7,Q10A8,Q10A9,Q10A10,Q10A11,Q10A12,Q10A13,Q10A14,Q10A15,Q10A16,Q10A17,Q10A18,Q10A19,Q10A20,Q11M1,Q11M2,Q11_OTHERS,Q12M1,Q12M2,Q12M3,Q12M4,Q12M5,Q12M6,Q12M7,Q12M8,Q12M9,Q12M10,Q12M11,Q12M12,Q12M13,Q12_1,Q12_1_OTHERS,DM1,DM2,DM3,DM4,DM9,wgt_a,wgt_b
273813.0,2738.0,1.0,1.0,2.0,1.0,1.0,1.0,4.0,3.0,2.0,5.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,1.0,6.0,,1.0,2.0,,2.0,2.0,4.0,2.0,4.0,2.0,2.0,1.0,1.0,1.0,3.0,5.0,5.0,5.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,4.0,3.0,5.0,4.0,4.0,5.0,3.0,4.0,3.0,4.0,8.0,7.0,,2.0,4.0,8.0,9.0,10.0,,,,,,,,,2.0,,2.0,3.0,6.0,4.0,2.0,1672.5572594916084,1.4338050170579275
273814.0,2738.0,1.0,1.0,2.0,1.0,1.0,1.0,4.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,1.0,2.0,,2.0,1.0,,4.0,1.0,4.0,3.0,4.0,1.0,3.0,3.0,2.0,2.0,4.0,4.0,4.0,3.0,5.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,2.0,3.0,2.0,5.0,1.0,,2.0,5.0,10.0,,,,,,,,,,,1.0,,2.0,3.0,6.0,4.0,2.0,1672.5572594916084,1.4338050170579275
273815.0,2738.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,4.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0,5.0,,1.0,2.0,,1.0,4.0,3.0,4.0,2.0,5.0,2.0,3.0,2.0,2.0,3.0,3.0,4.0,3.0,4.0,2.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,,2.0,9.0,10.0,,,,,,,,,,,3.0,,2.0,3.0,6.0,4.0,2.0,1672.5572594916084,1.4338050170579275
273816.0,2738.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,5.0,4.0,5.0,3.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,,5.0,1.0,,5.0,5.0,5.0,5.0,5.0,1.0,4.0,4.0,2.0,2.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,3.0,4.0,4.0,3.0,4.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,8.0,,7.0,8.0,,,,,,,,,,,,2.0,,2.0,3.0,6.0,4.0,2.0,1672.5572594916084,1.4338050170579275
273817.0,2738.0,1.0,1.0,2.0,1.0,1.0,1.0,4.0,5.0,5.0,4.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,1.0,1.0,2.0,,2.0,1.0,,4.0,5.0,3.0,3.0,4.0,2.0,2.0,1.0,2.0,1.0,2.0,4.0,4.0,3.0,5.0,2.0,4.0,4.0,3.0,4.0,2.0,3.0,3.0,2.0,2.0,4.0,4.0,3.0,4.0,3.0,3.0,8.0,4.0,,2.0,8.0,10.0,,,,,,,,,,,5.0,귀찮아서,2.0,3.0,6.0,4.0,2.0,1672.5572594916084,1.4338050170579275
273818.0,2738.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,3.0,3.0,3.0,2.0,1.0,1.0,2.0,2.0,3.0,2.0,1.0,1.0,3.0,,2.0,6.0,친구,3.0,2.0,3.0,3.0,4.0,3.0,3.0,2.0,3.0,4.0,2.0,4.0,4.0,4.0,4.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,2.0,3.0,4.0,5.0,3.0,,2.0,5.0,9.0,10.0,,,,,,,,,,3.0,,2.0,3.0,6.0,4.0,2.0,1672.5572594916084,1.4338050170579275
273819.0,2738.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,5.0,3.0,3.0,3.0,1.0,1.0,2.0,3.0,3.0,3.0,1.0,1.0,2.0,,2.0,1.0,,4.0,3.0,4.0,5.0,4.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,2.0,3.0,3.0,4.0,3.0,2.0,6.0,8.0,,2.0,5.0,9.0,10.0,,,,,,,,,,2.0,,2.0,3.0,6.0,4.0,2.0,1672.5572594916084,1.4338050170579275
274001.0,2740.0,1.0,1.0,2.0,1.0,1.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,3.0,,1.0,2.0,,2.0,2.0,3.0,3.0,2.0,4.0,2.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,4.0,4.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,5.0,,9.0,10.0,,,,,,,,,,,,3.0,,2.0,1.0,1.0,5.0,3.0,1630.4678362573093,1.3977237254573303
274002.0,2740.0,1.0,1.0,2.0,5.0,1.0,1.0,3.0,3.0,3.0,2.0,3.0,2.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,2.0,,1.0,2.0,,2.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,2.0,1.0,3.0,3.0,3.0,4.0,3.0,2.0,3.0,3.0,7.0,,4.0,,,,,,,,,,,,,3.0,,2.0,1.0,1.0,5.0,3.0,1630.4678362573093,1.3977237254573303
274003.0,2740.0,1.0,1.0,2.0,1.0,2.0,5.0,3.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,3.0,1.0,1.0,3.0,6.0,,2.0,1.0,,2.0,2.0,1.0,3.0,1.0,4.0,2.0,5.0,4.0,3.0,5.0,5.0,4.0,2.0,3.0,1.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,3.0,1.0,3.0,4.0,2.0,2.0,4.0,1.0,,1.0,5.0,,,,,,,,,,,,1.0,,2.0,1.0,1.0,5.0,3.0,1630.4678362573093,1.3977237254573303
274004.0,2740.0,1.0,1.0,2.0,1.0,2.0,5.0,3.0,1.0,1.0,3.0,2.0,1.0,1.0,3.0,1.0,3.0,1.0,3.0,1.0,3.0,,1.0,2.0,,3.0,1.0,1.0,1.0,2.0,4.0,2.0,4.0,3.0,3.0,1.0,2.0,2.0,1.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,2.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,5.0,,13.0,,,,,,,,,,,,,,,2.0,1.0,1.0,5.0,3.0,1630.4678362573093,1.3977237254573303
274005.0,2740.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,6.0,,1.0,,,4.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,2.0,3.0,1.0,2.0,,5.0,9.0,10.0,,,,,,,,,,,3.0,,2.0,1.0,1.0,5.0,3.0,1630.4678362573093,1.3977237254573303
274006.0,2740.0,1.0,1.0,2.0,1.0,1.0,2.0,3.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,,1.0,2.0,,3.0,2.0,3.0,2.0,2.0,3.0,1.0,3.0,3.0,4.0,2.0,4.0,4.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,1.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,7.0,,5.0,,,,,,,,,,,,,4.0,,2.0,1.0,1.0,5.0,3.0,1630.4678362573093,1.3977237254573303
274007.0,2740.0,1.0,1.0,2.0,1.0,1.0,1.0,4.0,3.0,2.0,4.0,3.0,1.0,1.0,1.0,2.0,3.0,2.0,2.0,1.0,6.0,,3.0,2.0,,4.0,3.0,4.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,4.0,5.0,5.0,3.0,4.0,2.0,2.0,3.0,3.0,4.0,2.0,4.0,3.0,5.0,3.0,4.0,4.0,2.0,4.0,4.0,4.0,6.0,3.0,,2.0,5.0,9.0,10.0,12.0,,,,,,,,,2.0,,2.0,1.0,1.0,5.0,3.0,1630.4678362573093,1.3977237254573303
274008.0,2740.0,1.0,1.0,2.0,5.0,2.0,5.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,3.0,6.0,,1.0,3.0,,1.0,2.0,2.0,2.0,1.0,,2.0,3.0,3.0,4.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,3.0,2.0,2.0,1.0,1.0,3.0,1.0,3.0,,2.0,5.0,9.0,10.0,,,,,,,,,,3.0,,2.0,1.0,1.0,5.0,3.0,1630.4678362573093,1.3977237254573303
274009.0,2740.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,3.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,6.0,3.0,,2.0,1.0,,3.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,3.0,4.0,4.0,4.0,1.0,5.0,1.0,3.0,4.0,2.0,1.0,2.0,3.0,2.0,2.0,3.0,1.0,4.0,1.0,3.0,1.0,1.0,4.0,3.0,,5.0,10.0,,,,,,,,,,,,3.0,,2.0,1.0,1.0,5.0,3.0,1630.4678362573093,1.3977237254573303
274010.0,2740.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,4.0,1.0,5.0,5.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,4.0,,1.0,2.0,,5.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,,1.0,2.0,3.0,5.0,9.0,10.0,,,,,,,,1.0,,1.0,1.0,1.0,5.0,3.0,1379.3650793650788,1.182465090462321
274011.0,2740.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,5.0,,1.0,6.0,없음,3.0,3.0,5.0,1.0,3.0,5.0,1.0,4.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,1.0,3.0,2.0,3.0,2.0,3.0,4.0,,2.0,,,,,,,,,,,,,3.0,,1.0,1.0,1.0,5.0,3.0,1379.3650793650788,1.182465090462321
274012.0,2740.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,5.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,5.0,6.0,,1.0,5.0,,4.0,1.0,1.0,1.0,4.0,2.0,1.0,4.0,3.0,4.0,3.0,3.0,5.0,3.0,5.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,5.0,3.0,8.0,,10.0,,,,,,,,,,,,,5.0,참여하는데 어려움이 없음,1.0,1.0,1.0,5.0,3.0,1379.3650793650788,1.182465090462321
274013.0,2740.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,3.0,4.0,1.0,1.0,2.0,2.0,3.0,2.0,2.0,1.0,6.0,,2.0,1.0,,5.0,3.0,4.0,3.0,4.0,2.0,3.0,3.0,4.0,2.0,2.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,2.0,3.0,2.0,3.0,3.0,4.0,4.0,2.0,4.0,2.0,2.0,2.0,2.0,4.0,7.0,,2.0,3.0,4.0,5.0,9.0,10.0,12.0,,,,,,,2.0,,1.0,1.0,1.0,5.0,3.0,1379.3650793650788,1.182465090462321
274014.0,2740.0,1.0,1.0,1.0,2.0,2.0,2.0,4.0,3.0,2.0,3.0,3.0,3.0,2.0,1.0,2.0,3.0,2.0,1.0,6.0,5.0,,2.0,1.0,,4.0,3.0,3.0,2.0,1.0,3.0,5.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,4.0,3.0,4.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0,3.0,7.0,2.0,,3.0,5.0,7.0,11.0,,,,,,,,,,2.0,,1.0,1.0,1.0,5.0,3.0,1379.3650793650788,1.182465090462321
274015.0,2740.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,4.0,2.0,4.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,6.0,1.0,,1.0,2.0,,3.0,2.0,3.0,2.0,3.0,2.0,1.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,2.0,1.0,3.0,1.0,1.0,2.0,4.0,2.0,3.0,2.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,,5.0,,,,,,,,,,,,,1.0,,1.0,1.0,1.0,5.0,3.0,1379.3650793650788,1.182465090462321
274016.0,2740.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,6.0,5.0,,1.0,2.0,,4.0,3.0,2.0,2.0,3.0,2.0,1.0,4.0,3.0,1.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,1.0,3.0,5.0,8.0,,5.0,,,,,,,,,,,,,1.0,,1.0,1.0,1.0,5.0,3.0,1379.3650793650788,1.182465090462321
274017.0,2740.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,5.0,3.0,4.0,4.0,1.0,1.0,2.0,3.0,3.0,1.0,3.0,5.0,3.0,,1.0,2.0,,3.0,2.0,3.0,2.0,1.0,1.0,3.0,5.0,3.0,5.0,4.0,4.0,4.0,5.0,3.0,4.0,3.0,4.0,3.0,2.0,4.0,3.0,4.0,5.0,2.0,2.0,2.0,3.0,3.0,3.0,5.0,1.0,2.0,,2.0,5.0,6.0,12.0,,,,,,,,,,1.0,,1.0,1.0,1.0,5.0,3.0,1379.3650793650788,1.182465090462321
274018.0,2740.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,4.0,3.0,2.0,3.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,3.0,,2.0,1.0,,4.0,3.0,5.0,4.0,2.0,2.0,3.0,5.0,3.0,3.0,4.0,3.0,4.0,2.0,5.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,5.0,4.0,5.0,3.0,3.0,1.0,2.0,,13.0,,,,,,,,,,,,,,,1.0,1.0,1.0,5.0,3.0,1379.3650793650788,1.182465090462321
274101.0,2741.0,1.0,1.0,2.0,1.0,1.0,3.0,3.0,3.0,2.0,4.0,3.0,2.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,6.0,,1.0,2.0,,4.0,4.0,5.0,4.0,3.0,2.0,3.0,5.0,4.0,3.0,3.0,4.0,4.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,2.0,3.0,4.0,3.0,8.0,2.0,,2.0,12.0,,,,,,,,,,,,3.0,,2.0,1.0,2.0,5.0,3.0,1184.1217948717954,1.0150921654011908
274102.0,2741.0,1.0,1.0,2.0,5.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,5.0,,2.0,1.0,,3.0,2.0,3.0,4.0,3.0,2.0,,3.0,3.0,3.0,1.0,3.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,8.0,,2.0,3.0,5.0,9.0,10.0,12.0,,,,,,,,3.0,,2.0,1.0,2.0,5.0,3.0,1184.1217948717954,1.0150921654011908
274103.0,2741.0,1.0,1.0,2.0,1.0,1.0,1.0,5.0,5.0,4.0,4.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,4.0,1.0,,2.0,1.0,,5.0,3.0,4.0,4.0,4.0,1.0,5.0,3.0,2.0,3.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,3.0,3.0,4.0,4.0,5.0,4.0,3.0,3.0,5.0,4.0,4.0,3.0,6.0,,2.0,4.0,5.0,9.0,10.0,,,,,,,,,4.0,,2.0,1.0,2.0,5.0,3.0,1184.1217948717954,1.0150921654011908
274104.0,2741.0,1.0,1.0,2.0,5.0,1.0,1.0,2.0,3.0,2.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,6.0,,1.0,4.0,,4.0,2.0,2.0,3.0,2.0,4.0,1.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,5.0,,2.0,9.0,10.0,,,,,,,,,,,3.0,,2.0,1.0,2.0,5.0,3.0,1184.1217948717954,1.0150921654011908
274105.0,2741.0,1.0,1.0,2.0,1.0,1.0,2.0,3.0,4.0,4.0,3.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,5.0,1.0,,1.0,4.0,,3.0,4.0,3.0,4.0,4.0,2.0,3.0,4.0,4.0,1.0,4.0,3.0,4.0,3.0,5.0,1.0,4.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,4.0,3.0,2.0,3.0,1.0,8.0,,2.0,5.0,9.0,10.0,,,,,,,,,,2.0,,2.0,1.0,2.0,5.0,3.0,1184.1217948717954,1.0150921654011908
274106.0,2741.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,4.0,4.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,1.0,3.0,,1.0,5.0,,4.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,1.0,2.0,3.0,3.0,4.0,3.0,4.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,2.0,4.0,2.0,3.0,4.0,5.0,,4.0,12.0,,,,,,,,,,,,4.0,,2.0,1.0,2.0,5.0,3.0,1184.1217948717954,1.0150921654011908
274107.0,2741.0,1.0,1.0,2.0,1.0,1.0,1.0,4.0,5.0,4.0,4.0,2.0,1.0,1.0,2.0,1.0,3.0,2.0,1.0,8.0,6.0,학교수업,1.0,5.0,,4.0,2.0,5.0,2.0,4.0,2.0,4.0,4.0,2.0,2.0,4.0,4.0,4.0,4.0,5.0,2.0,3.0,4.0,3.0,3.0,2.0,4.0,4.0,2.0,4.0,2.0,4.0,4.0,3.0,4.0,5.0,3.0,1.0,,2.0,5.0,9.0,10.0,,,,,,,,,,2.0,,2.0,1.0,2.0,5.0,3.0,1184.1217948717954,1.0150921654011908
274108.0,2741.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,4.0,2.0,4.0,1.0,2.0,1.0,2.0,2.0,3.0,2.0,2.0,1.0,2.0,,1.0,2.0,,3.0,2.0,1.0,2.0,2.0,1.0,1.0,4.0,2.0,2.0,3.0,4.0,4.0,4.0,4.0,2.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,2.0,2.0,3.0,4.0,3.0,2.0,3.0,3.0,2.0,1.0,,2.0,4.0,5.0,9.0,10.0,,,,,,,,,2.0,,2.0,1.0,2.0,5.0,3.0,1184.1217948717954,1.0150921654011908
